source_type,product_id,product_name,estado_producto,es_estacional,meses_estacionales,ultima_actividad,stock_actual,stock_minimo,stock_maximo,lead_time_dias,lote_minimo_produccion,observacion
PT,PT_4261,* EL ARTESANAL CALDO DE GALLINA 64G (4261),activo,False,"diciembre, marzo, febrero",2026-03-01,,,,,,
PT,PT_2433,* EL ARTESANAL CALDO DE GALLINA FRASCO 70G (2433),activo,True,"diciembre, julio, febrero",2026-03-01,,,,,,
PT,PT_4254,* EL ARTESANAL CHIMICHURRI BOTELLA 500 G (4254),activo,False,"abril, marzo, diciembre",2026-03-01,,,,,,
PT,PT_6340,* EL ARTESANAL CHOCOLATE FUNDA DE 200G (6340),activo,False,"mayo, diciembre, abril",2026-03-01,,,,,,
PT,PT_6333,* EL ARTESANAL CHOCOLATE FUNDA DE 90GRS (6333),activo,False,"mayo, diciembre, abril",2026-03-01,,,,,,
PT,PT_4872,* EL ARTESANAL ESENCIA DE COCO 100 ML (4872),activo,False,"mayo, abril, febrero",2026-03-01,,,,,,
PT,PT_4889,* EL ARTESANAL ESENCIA DE MENTA 100 ML (4889),activo,False,"mayo, abril, julio",2026-03-01,,,,,,
PT,PT_4708,* EL ARTESANAL ESENCIA DE VAINILLA 100 ML (4708),activo,False,"febrero, marzo, diciembre",2026-03-01,,,,,,
PT,PT_7606,* EL ARTESANAL GRAGEAS FRASCO 85G (7606),activo,False,"julio, diciembre, febrero",2026-03-01,,,,,,
PT,PT_6883,* EL ARTESANAL MAIZ GIGANTE CHILE LIMON 80GR (6883),activo,True,"febrero, diciembre, agosto",2026-03-01,,,,,,
PT,PT_6876,* EL ARTESANAL MAIZ GIGANTE NATURAL 80GR (6876),activo,False,"enero, febrero, julio",2026-03-01,,,,,,
PT,PT_4951,* EL ARTESANAL MAYONESA 180 GR (4951),activo,False,"octubre, diciembre, noviembre",2026-03-01,,,,,,
PT,PT_7866,* EL ARTESANAL MOSTAZA DOYPACK DE 200G (7866)..,activo,False,"diciembre, noviembre, enero",2026-03-01,,,,,,
PT,PT_7538,* EL ARTESANAL SAL AHUMADA FRASCO 70G (7538),activo,False,"junio, diciembre, enero",2026-03-01,,,,,,
PT,PT_7590,* EL ARTESANAL SAL MARINA FINAS HIERBAS FRASCO 70G (7590),activo,False,"junio, enero, marzo",2026-03-01,,,,,,
PT,PT_8245,* EL ARTESANAL SALSA  AMARILLA DOYPACK DE 200G (8245),activo,True,"febrero, octubre, noviembre",2025-10-01,,,,,,
PT,PT_4821,* EL ARTESANAL SALSA BBQ ORIGINAL DOYPACK 200 GR (4821),activo,False,"octubre, enero, marzo",2026-03-01,,,,,,
PT,PT_8238,* EL ARTESANAL SALSA DE AJO DOYPACK DE 200G (8238),activo,False,"noviembre, mayo, julio",2026-03-01,,,,,,
PT,PT_4722,* EL ARTESANAL SALSA DE AJí 200G (4722),activo,False,"junio, febrero, enero",2026-03-01,,,,,,
PT,PT_8221,* EL ARTESANAL SALSA DE ALBAHACA DOYPACK DE 200G (8221),activo,False,"febrero, noviembre, diciembre",2026-03-01,,,,,,
PT,PT_4692,* EL ARTESANAL SALSA DE SOYA 150 ML (4692),activo,False,"febrero, enero, julio",2026-03-01,,,,,,
PT,PT_3172,* EL ARTESANAL SALSA DE SOYA 300 ML (3172),activo,True,"abril, noviembre, marzo",2025-12-01,,,,,,
PT,PT_4968,* EL ARTESANAL SALSA DE TOMATE 180 GR (4968),activo,False,"diciembre, octubre, noviembre",2026-03-01,,,,,,
PT,PT_7545,* EL ARTESANAL SAZON CARNES ROJAS FRASCO 70G (7545),activo,False,"junio, diciembre, marzo",2026-03-01,,,,,,
PT,PT_7569,* EL ARTESANAL SAZON FINAS HIERBAS FRASCO 50G (7569),activo,False,"junio, diciembre, julio",2026-03-01,,,,,,
PT,PT_7576,* EL ARTESANAL SAZON PARA  PESCADO/MARISCOS FRASCO 70G  (7576),activo,False,"junio, febrero, marzo",2026-03-01,,,,,,
PT,PT_7552,* EL ARTESANAL SAZON PARA CERDO FRASCO 60G (7552)..,activo,False,"junio, diciembre, enero",2026-03-01,,,,,,
PT,PT_7583,* EL ARTESANAL SAZON PARA POLLO FRASCO 70 GR (7583),activo,False,"junio, diciembre, febrero",2026-03-01,,,,,,
PT,PT_3081,* EL ARTESANAL SAZONA PAVO BOTELLA 500 ML (3081),activo,True,"diciembre, octubre, noviembre",2025-12-01,,,,,,
PT,PT_6608,* EL ARTESANAL SAZONADOR COMPLETO DOYPACK 250G (6608),activo,True,"diciembre, febrero, marzo",2026-03-01,,,,,,
PT,PT_6890,* EL ARTESANAL TOSTADO CON CHILE - LIMON 80GR (6890),activo,False,"julio, agosto, febrero",2026-03-01,,,,,,
PT,PT_6951,* EL ARTESANAL VINAGRE BOTELLA 220G (6951),activo,False,"junio, mayo, septiembre",2026-03-01,,,,,,
PT,PT_6944,* EL ARTESANAL VINAGRE MANZANA BOTELLA 220G (6944),activo,False,"enero, julio, agosto",2026-03-01,,,,,,
PT,PT_1091,* ESY CAFE TOSTADO Y MOLIDO 250G (1091),activo,True,"diciembre, marzo, enero",2026-03-01,,,,,,
PT,PT_2722,* ESY CHIMICHURRY 200 G (2722),activo,False,"febrero, marzo",2026-03-01,,,,,,
PT,PT_7026,* ESY MAYONESA DOYPACK 200G (7026),activo,False,"diciembre, septiembre, marzo",2026-03-01,,,,,,
PT,PT_7033,* ESY SALSA DE ALBAHACA DOYPACK 200G (7033),activo,True,"julio, junio, diciembre",2026-03-01,,,,,,
PT,PT_7040,* ESY SALSA DE QUESO CHEDDAR DOYPACK 200G (7040),activo,True,"septiembre, diciembre, agosto",2026-03-01,,,,,,
PT,PT_2030,* FRUTA CONFITADA 150G (2030),activo,False,"noviembre, diciembre",2025-12-01,,,,,,
PT,PT_5699,* GRAGEAS DISPLAY X10 ($0.25)(5699),activo,False,"julio, junio, mayo",2026-03-01,,,,,,
PT,PT_8332,* GRAGEAS DISPLAY X15 ($0.10)(8332),inactivo,False,"julio, agosto, junio",2024-10-01,,,,,,
PT,PT_7052,* GRAGEAS FCO LINEAL 150G(7052),activo,False,"febrero, abril, diciembre",2026-03-01,,,,,,
PT,PT_1180,* GRAGEAS FDA 200 GRS(1180),inactivo,False,"agosto, abril, septiembre",2024-02-01,,,,,,
PT,PT_6123,* GRAGEAS FDA 50 GRS(6123),activo,False,"marzo, febrero, mayo",2026-03-01,,,,,,
PT,PT_0793,* GRAGEAS FRASCO 85G (0793),activo,False,"marzo, julio, enero",2026-03-01,,,,,,
PT,PT_1165,* GRAGEAS KL(1165),activo,False,"marzo, mayo, julio",2026-03-01,,,,,,
PT,PT_0821,* GRANOLA CON FRUTOS SECOS FUNDA 280G (0821),activo,True,"enero, febrero, diciembre",2026-03-01,,,,,,
PT,PT_0063,* INDIAS S. ACEITE DE OLIVA BOT PET 200ML(0063),activo,False,"octubre, noviembre, julio",2026-03-01,,,,,,
PT,PT_0544,* INDIAS S. ACEITE DE OLIVA BOT PET 250ML(0544),inactivo,False,"julio, junio",2023-07-01,,,,,,
PT,PT_0537,* INDIAS S. ACEITE DE OLIVA BOT PET 500ML(0537),inactivo,False,mayo,2023-05-01,,,,,,
PT,PT_0056,* INDIAS S. CHIMICHURRI PARRILLERO BOT 310 GR (0056),activo,False,"enero, diciembre, marzo",2026-03-01,,,,,,
PT,PT_0049,* INDIAS S. SAZON COMPLETA BOT 310 GR (0049),activo,False,"marzo, octubre, septiembre",2026-03-01,,,,,,
PT,PT_0032,* INDIAS S. SAZON COMPLETA BOT 500 GR (0032),activo,False,"enero, diciembre, febrero",2026-03-01,,,,,,
PT,PT_0162,* INDIAS S. SAZON MEXICANA FCO 70 G(0162),activo,True,"diciembre, octubre, agosto",2026-01-01,,,,,,
PT,PT_0155,* INDIAS S. SAZONADOR CARNES ROJA FCO. 70G(0155),activo,False,"abril, enero, marzo",2026-01-01,,,,,,
PT,PT_0094,* INDIAS S. SAZONADOR FINAS HIER FCO 50G(0094),activo,False,"enero, marzo, agosto",2026-03-01,,,,,,
PT,PT_0193,* INDIAS S. SAZONADOR PARA MARISCOS FRASCO 70G(0193),activo,True,"marzo, octubre, abril",2025-11-01,,,,,,
PT,PT_0148,* INDIAS S. SAZONADOR POLLO FCO 70G(0148),activo,False,"marzo, enero, diciembre",2026-03-01,,,,,,
PT,PT_5540,* LA ORIGINAL PANELA MOLIDA SABOR LIMON 150G (5540),activo,True,"agosto, diciembre, febrero",2026-03-01,,,,,,
PT,PT_0706,* LA ORIGINAL PICADITA MIX FDA 100G(0706),activo,False,"enero, marzo, diciembre",2026-03-01,,,,,,
PT,PT_7568,* LA ORIGINAL SALSA DE QUESO CHEDDAR TARRINA 100G (7568),activo,True,"octubre, diciembre, enero",2026-03-01,,,,,,
PT,PT_2565,* LA ORIGINAL SAZON FIN HIER FCO 50G(2565),activo,False,"diciembre, enero, marzo",2026-03-01,,,,,,
PT,PT_5729,* LEVADURA DISPLAY X 10 ($0.30)(5729),activo,False,"enero, noviembre, julio",2026-03-01,,,,,,
PT,PT_2193,* LEVADURA FCO 50G (2193),activo,False,"octubre, noviembre, diciembre",2026-03-01,,,,,,
